time_s,knee_angle_deg
0.006430,0.1772
0.007170,0.1816
0.009176,0.1940
0.012312,0.2133
0.015656,0.2193
0.017734,0.2225
0.027644,0.2334
0.029595,0.2290
0.033178,0.2213
0.035286,0.2062
0.039512,0.1904
0.041607,0.1814
0.045710,0.1621
0.047777,0.1496
0.052914,0.1323
0.053946,0.1230
0.057685,0.1127
0.059866,0.1113
0.063116,0.1069
0.066541,0.0912
0.068581,0.0864
0.071531,0.0770
0.074984,0.0671
0.078064,0.0655
0.081287,0.0616
0.084650,0.0568
0.086648,0.0610
0.091003,0.0743
0.093056,0.0795
0.096453,0.0841
0.099997,0.0992
0.101977,0.1034
0.105020,0.1116
0.108104,0.1206
0.111155,0.1268
0.114627,0.1437
0.118005,0.1552
0.120166,0.1645
0.130050,0.2086
0.132124,0.1889
0.134236,0.1767
0.135476,0.1626
0.139948,0.1679
0.140946,0.1637
0.144075,0.1542
0.147232,0.1443
0.150243,0.1293
0.153374,0.1179
0.155936,0.1078
0.159311,0.0930
0.163004,0.0783
0.165006,0.0707
0.168414,0.0589
0.171465,0.0463
0.174497,0.0382
0.176805,0.0340
0.179832,0.0257
0.183293,0.0160
0.186601,0.0160
0.188614,0.0172
0.191956,0.0163
0.195387,0.0098
0.197747,0.0140
0.200795,0.0107
0.203892,0.0073
0.208645,0.0107
0.210850,0.0107
0.212825,0.0182
0.216357,0.0278
0.220702,0.0348
0.223117,0.0371
0.231664,0.0475
0.232701,0.0701
0.234328,0.0891
0.236286,0.0973
0.241935,0.1168
0.243998,0.1291
0.245983,0.1333
0.250448,0.1494
0.252572,0.1542
0.255668,0.1574
0.259054,0.1567
0.262135,0.1445
0.265242,0.1423
0.267406,0.1393
0.271157,0.1373
0.273128,0.1381
0.277441,0.1299
0.279471,0.1234
0.282977,0.1131
0.286556,0.0973
0.288606,0.0963
0.291914,0.0903
0.295225,0.0840
0.298600,0.0825
0.301695,0.0869
0.304229,0.0896
0.310367,0.0908
0.311438,0.0938
0.313847,0.1015
0.316813,0.1071
0.319242,0.1131
0.322268,0.1263
0.325345,0.1327
0.334196,0.1388
0.342110,0.1646
0.344255,0.1708
0.346342,0.1774
0.349525,0.1869
0.352542,0.1916
0.356331,0.1927
0.358329,0.1976
0.361520,0.1980
0.364849,0.1982
0.368301,0.2070
0.370301,0.2088
0.373602,0.2091
0.377044,0.2103
0.379506,0.2198
0.383063,0.2223
0.386425,0.2251
0.389599,0.2293
0.392134,0.2304
0.395210,0.2344
0.397691,0.2368
0.400785,0.2402
0.404308,0.2501
0.407555,0.2663
0.409911,0.2760
0.412998,0.2844
0.416468,0.2813
0.418812,0.2997
0.422369,0.3183
0.425338,0.3353
0.427820,0.3487
0.438235,0.3989
0.439468,0.3933
0.442463,0.4217
0.445811,0.4368
0.448966,0.4525
0.451465,0.4640
0.455015,0.4733
0.458432,0.4827
0.460771,0.4834
0.463780,0.4869
0.466840,0.4811
0.470233,0.4719
0.472678,0.4560
0.475772,0.4441
0.478818,0.4259
